content;score;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros;date;version;app_name;sentiment_label;reviewId
mais de 20 minutos em duas chamadas sem atendimento;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 11:43:05;25.9.1.3;Santander;negative;
Esta ruim demora demais para abrir mesmo usando a rede Wi-Fi agora vem a mensagem que houve falha você tem que fechar ou aguardar para que o app funcione;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 11:25:46;25.9.1.3;Santander;negative;
muito ruim de difícil acesso, o atendimento pessoal é pessimo.;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-03 12:29:12;;Santander;negative;
Mesmo com biometria, toda hora pede senha e da erro. App abandonado!;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 09:35:31;25.9.1.3;Santander;negative;
Aplicativo cheio de problemas. Uma hora não carrega para acessar o informativos que preciso, outra hora é o pix que carrega infinitamente e o aplicativo reinicia sozinho. Complicado...;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 12:25:23;25.9.1.3;Santander;negative;
Fraude minhas contas e Cartão de Crédito, impossível falar já fiz BO, Santander Sto Amaro e Santander Atibaia;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2026-01-05 08:43:50;25.9.1.3;Santander;negative;
APLICATIVO TRAVA E QUANDO FUNCIONA É LENTO;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 07:34:54;25.9.1.3;Santander;negative;
Como pode passar+6 dias úteis pra compensar um documento pago.. . se for IPVA. aqui esqueci., povo deixa a desejar.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2026-01-04 22:25:28;25.9.1.3;Santander;negative;
Não tem opção pra solicitar outra senha, não consigo falar com o atendente, não tem a opção esqueci minha senha e outras opções que facilite a pessoa;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-04 20:10:17;25.9.1.3;Santander;negative;
Muitas falhas desde 20 de Dezembro, fiquei sem conseguir usar;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 19:26:50;25.9.1.3;Santander;negative;
PROPAGANDA ENGANOSA É CRIME! VOCÊS FAZEM AS PESSOAS ABRIR CONTA NOS APLICATIVOS DIZENDO QUE TEM ATE R$3.000 DE CARTÃO DE CRÉDITO, E QUANDO A CONTA ESTÁ ABERTA, DIZEM QUE NÃO TEM PROPOSTA... VOU DENUNCIÁ-LOS!;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2026-01-04 17:46:05;25.9.1.3;Santander;negative;
essa última versão tá horrível, letra brancas com fundo branco, corrijam por favor;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 15:34:32;25.9.1.3;Santander;negative;
Aplicativo de um banco tão grande e robusto, e não ter modo escuro, tô fora.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 11:37:41;25.9.1.3;Santander;negative;
não consigo baixar a fatura em PDF. A visualização rápida não funciona. O atual sistema não é intuitivo.;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 11:34:51;25.9.1.3;Santander;negative;
"Está com bug ""IntentResolv"", por isso não consegui salvar nem compartilhar comprovante Pix.";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 11:32:28;25.9.1.3;Santander;negative;
O app é bom, MAS o banco é péssimo, não oferece benefícios e não entregam o cartão, já solicitei 2x e nada..;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 11:28:58;;Santander;negative;
não resolve e impede o contato via telefone;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-03 12:22:12;25.9.1.3;Santander;negative;
nao fociona o apricativo;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 10:30:48;23.5.5.1;Santander;negative;
o aplicativo dificulta tudo ...mesmo com a nossa facial;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-04 09:50:53;25.9.1.3;Santander;negative;
Horrível 😕 Toda hora trava e impede uso.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 11:26:11;25.9.1.3;Santander;negative;
o pior aplicativo de banco que já vi ..trava demais custa a abrir,pena que recebo meu salário por ele,se nao já tinha desinstalado;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 22:18:40;;Santander;negative;
essa nova versão ficou horrível, pra que ficar atualizado um APP , acaba deixando de ser funcional por conta de estética que por sinal é feia.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 19:48:34;25.9.1.3;Santander;negative;
Péssimo banco péssimo não recomendo a ninguém faz tempo que tenho a conta e até hoge nda de liberar crêdito nda;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;4feeb5f0-512c-4cb3-aaab-58d6f8e969a3
Muita dificuldade para conseguir falar com atendente presencial Não tem suporte Péssimo atendimento online A gente liga nunca consegue resultado Não consigo emitir boleto de renegociação tentando falar com alguém até agora nada vai vencer a data;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;58a55f31-cf94-4a9e-b8ac-151c32f6cd86
Estou com problema com banco total insatisfeito pq ninguém resolve o problema;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;d8515e25-fe04-4194-a9ea-117eae2b32fd
ruim sempre é ajuda nada crédito conta limite 😕;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;ab55eb6f-90e0-4306-ba50-a23f1e294446
terrível roda,roda não entra;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 09:44:32;25.9.1.3;Santander;negative;
Arrumem isso ai nao estou conseguindo logar;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;6d47afed-a32d-43df-bed1-e101f641b55e
o app não está funcionando hj;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:16:24;4.73.1;Bradesco;;
Não abre o aplicativo trva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;7ee2a19e-6541-4f18-acc4-0fd7156a75b0
além de lento vive fora do ar, agora por exemplo preciso fazer um Pix mas não consigo entrar no app;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:15:34;4.73.1;Bradesco;;
O aplicativo tá péssimo para abrir.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;a34f0a7d-1f0c-4232-b48c-a73c34d3e273
Pessimo....quero incerrar a conta..;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;ec423076-5457-4497-97d9-62d9cfadd954
preciso entrar no aplicativo e simplesmente tem duas hrs que não entra;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:15:34;4.73.1;Bradesco;;
Péssimo não consigo entrar pra pagar fatura;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;cf23e796-1d95-4cbc-80bc-f78243e13c90
o que está acontecendo não estou conseguindo acessar minha conta;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:15:29;4.74.0;Bradesco;;
Nossa eu não tô conseguindo entrar no app do banco meus boletos vão vencer e não consigo entrar;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;8b3eb118-c14a-4015-acab-647b36da8d60
um lixo... bloqueio de poupança sem autorização e etc..;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;dd15e6f8-1fc9-4652-ae18-b246e5b83693
Muito fraco não dá alerta de pix;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;d3c417da-7087-4160-99af-19826980ed91
Pessimo app sempre trava e pede confirmação de senha de cartão deixando assim com duvidas se é o banco ou golpe !;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;60d8ae97-aa70-4310-8cab-549972f17ea7
Não entra quando preciso.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;707272ff-e224-405e-a837-b87496415e78
Só ter dinheiro na conta que o app para de funcionar do nada;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;6588228d-69e9-48aa-aa35-50b75ebcdb54
Péssimo banco;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;14961b03-269d-4f61-80f1-1fa280ef72f1
Só me liberou um cartão vei de débito pra mim serve pra que? Aff;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;7f04ac0d-c4cc-4998-a370-13fe36988349
Odiei;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;00af05d7-45aa-4a84-938f-0fe36c97c50c
😤;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;22cc5ee6-e534-4534-8459-a8e490ae65a3
Com a nova atualizacao o aplicativo fica travando nao abre o aplicativo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;c4fd8e0e-abfe-4ec2-b41c-bc9346aea46c
o app está o dia todo fora do ar !!!?;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:15:12;4.73.1;Bradesco;;
app fora do ar dia todo e banco não oferece uma solução. pra se ter um cartão cobram uma anuidade mto cara. sou cliente porque empresa simplesmente trocou o banco pra pagar salário. em 15 anos de banco do Brasil nunca tive problemas. com o Bradesco não precisou nem 2 meses.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:14:15;4.73.1;Bradesco;;
Não consegui encontrar na conta não consegui fazer outra senha 😡;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;7c9b099c-8ab6-46bd-a2a2-95957072934a
aplicativo não abre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-12 16:14:14;4.74.0;Bradesco;;
muitos erros;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;811d5f4f-5b56-44a3-9b08-fbcb50a08996
lento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;4c7ff86a-204d-48e1-978e-247708d9b891
Uma droga este aplicativo vive travando quando mais preciso fazer pix;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;c03b3740-34f1-4010-af46-c380c2aff904
o aplicativo obriga a mudar a senha constantemente. e nos deixa sem facilidade para acessar a conta. chega a ser ridículo para um banco com tantos recursos.;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 13:11:45;25.9.1.3;Santander;negative;
Horrivel, não sei pra que aplicativo se você não consegue fazer um simples pix ou pagar uma conta porque só da ERRO. Ter o aplicativo e nada é a mesma coisa.;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2026-01-03 09:47:53;25.9.1.3;Santander;negative;
cadê a biometria de sempre. Vem pedir a senha do nada. Quando a gente esquece e já usa a biometria vem te cobrar a senha. Muito chato isso. melhorem;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 10:54:47;25.9.1.3;Santander;negative;
depois que atualizou o aplicativo não responde;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 10:48:27;25.9.1.3;Santander;negative;
não concigo entra no Ap;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 10:47:26;25.9.1.3;Santander;negative;
lixo, horrível toda HR da instabilidade nesse banco de longe um dos piores bancos que existem;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 09:45:12;25.9.1.3;Santander;negative;
ficou pessima a actualizatcao do app.nao consigo mais abrir a lista do meu emprestimo,so abre as parcelas,antes abria todas parcelas a vencer,agora vou tentar abrir,o app c desliga.pessimo.;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 09:49:24;25.9.1.3;Santander;negative;
pior app;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-02 09:47:56;24.1.1.1;Santander;negative;
péssimo aplicativo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-03 19:28:39;25.9.1.3;Santander;negative;
Aplicativo, não abre de jeito nenhum, apresenta falhas constantes, já desinstalei e instalei novamente e não abre. estou a dias sem acesso ao banco via app. Péssimo!!! Tenho conta em outros bancos e isso não acontece.;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-03 07:11:28;25.9.1.3;Santander;negative;
Bom dia eu sou correntista do Santander o banco tinha que ter a opção que nem tem o.Mercantil e o banco do Brasil de fazer portabilidade de beneficio do inss sem a necessidade de ir na minha agencia mais comodidade para nós clientes porque isso eu fui a uma.agencia aqui perto de casa pata solocitar a portabilidade só posso pedir ma própria agência no qual tenho a conta absurdo isso;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2026-01-02 04:04:35;25.9.1.3;Santander;negative;
ficou péssimo,não entendo como muda um aplicativo que funcionava perfeitamente para uma coisa dessa ,minha fatura não atualiza desde novembro e o atendimento no telefone não consigo falar pra resolver nada,nota zero para esse aplicativo;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;2026-01-01 23:30:10;25.9.1.3;Santander;negative;
o app ficou péssimo na última atualização eu nao consigo encontrar nada no app, ficou muito confuso, você precisa entrar em uma aba pra entrar em outra pra descobrir que a informação que era fácil como as faturas do cartão agora virou um labirinto, o que deveria ser otimizado que é colocar uma observação, ou aparecer como paga quando a gente parcela a fatura não foi feito;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2026-01-01 22:52:36;25.9.1.3;Santander;negative;
não funciona já a dois dias;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 20:11:17;25.9.1.3;Santander;negative;
horrível, quando você mais precisa, o app trava .;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 19:58:52;25.9.1.3;Santander;negative;
muito ruim;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-02 18:18:58;25.9.1.3;Santander;negative;
aplicativo nao interativo;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-01 13:18:48;25.9.1.3;Santander;negative;
Esse aplicativo do Santander tá complicado não tá dando mais p trabalhar agora eles inventaram esse tal de ID que não funciona só atrapalha a gente p pagar e fazer Pix vou trabalhar com outro Banco;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2026-01-01 11:50:02;25.9.1.3;Santander;negative;
UM LIXO!!! SÓ FUNCIONA QUANDO QUER;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-01 11:23:34;;Santander;negative;
"Mais de um dia sem conseguir acessar o aplicativo a para uma NECESSIDADE e está com ""problemas tecnicos"" . como confiar num banco assim? é um serviço essencial, desse jeito não dá. Não usem pois terão dor de cabeça.";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-01 11:08:19;25.9.1.3;Santander;negative;
terrível;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-01 08:57:26;25.9.1.3;Santander;negative;
aplicativo ruim tenho problemas para fazer pagamento o tempo tudo entro em contato com a central e ninguém consegue resolver. já mudei de aparelho e o problema persiste. prefiro a versão antiga;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;2026-01-02 17:19:26;25.9.1.3;Santander;negative;
samsung Galaxy s8 PLUS, o aplicativo simplesmente parou de funcionar no momento que eu precisava fazer um PIX, me diz pra que serve um aplicativo com esse tipo de falha recorrente?!;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-01 01:35:35;25.10.1.0;Santander;negative;
prometem um serviço mas depois não era o que eu esperava abri minha conta hoje e já vou encerrar o pior banco q existe Santander;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2025-12-31 20:46:31;25.9.1.3;Santander;negative;
horrível péssimo recebir um Pix e não consigo enviar pra outra pessoa dar sempre q a conta da pessoa tá bloqueada sendo q faço Pix direto do meu outro banco;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 20:36:45;25.9.1.3;Santander;negative;
Eu não sei o que acontece, aplicativo mais difícil de abrir que tem. Fica o logo rodando sem fazer nada. Lamentável;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 16:39:55;25.9.1.3;Santander;negative;
Dentre todos os grandes bancos, esse app do Santander é o que tem o pior design!;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 18:29:21;25.9.1.3;Santander;negative;
banco Ruim. todos os bancos pagaram o salário dia 31/12/2025. só essa carniça que nao;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2025-12-31 16:37:11;25.9.1.3;Santander;negative;
Minha experiência horrível fui aprovado cartão de crédito FREE fatura fechada e ainda cartão físico não chegou já conversei chat pediu acompanhar pelo app, no o setor de investimento não está atualizado evolução patrimônio inconsistência de dados com B3;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2025-12-31 16:34:52;25.9.1.3;Santander;negative;
vive fora do ar;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 15:03:45;25.9.1.3;Santander;negative;
interface ta horrível;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 14:04:34;;Santander;negative;
horrivel muita instabilidade;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 12:15:06;25.9.1.3;Santander;negative;
Muito Ruim Trava Muito;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 11:58:27;25.9.1.3;Santander;negative;
NUNCA VI APLICATIVO TÃO HORRÍVEL É ERRO ENCIMA DE ERRO!!!!;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 10:59:32;25.9.1.3;Santander;negative;
FICOU HORRÍVEL ESSA ÚLTIMA ATUALIZAÇÃO DO APP,MUITO CONFUSO DE ENTENDER,QUE COISA HORROROSA!!!;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 10:45:33;25.9.1.3;Santander;negative;
Quem desenhou esse layout do app com toda certeza não tem conta no Santander e nunca precisou usar. Muito pouco funcional e cheio de termos técnicos. Tenho conta no Itaú e app é muito melhor. O app do Santander é um convite pra encerrar a conta.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 08:41:39;25.9.1.3;Santander;negative;
a cada atualização piora;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 08:36:30;25.9.1.3;Santander;negative;
aplicativo não abre de jeito nenhum, por ser um banco grande, deveria ter um aplicativo excelente, mas infelizmente o aplicativo simplesmente não funciona!;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-31 06:55:14;;Santander;negative;
Última atualização está péssima melhorem por favor 🙏🏾;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2025-12-31 06:44:02;25.9.1.3;Santander;negative;
péssima tenho conta corrente e não consigo acessar meu aplicativo;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-30 23:41:12;25.9.1.3;Santander;negative;
Além de ser um banco COMPLICADO de usar , a nova de agora é a gente pagar contas PELO PRÓPRIO APP . Paguei meu cartão de credito via boleto pelo próprio app e até agora não vi meu limite ser ressarcido . É um descaso e pra falar com uma atendente DE VERDADE , é mais complicado ainda .;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;2026-01-02 16:03:55;25.9.1.3;Santander;negative;
não consigo acessar o Santander shopping....affs;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-30 23:11:17;25.9.1.3;Santander;negative;
do nada parou de funcionar a biometria;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-30 22:45:08;25.9.1.3;Santander;negative;
horrivel. nao finciona;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2025-12-30 20:54:11;25.9.1.3;Santander;negative;
lixo a empresa mandou abrir essa conta mais não estou conseguindo;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2026-01-05 16:17:59;4.73.1;Bradesco;negative;
péssimo, horrível, precisa melhorar muito, cheio de bug;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 16:06:41;;Bradesco;negative;
Meu app simplesmente sumiu da minha lista de apps. No playstore diz que está instalado e não aparece a opção de abrir. quando aperto para desinstalar não acontece nada;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 15:53:28;25.9.1.3;Santander;negative;
pior banco de todos os tempos é esse , todo dia é um erro diferente banco lixo do em todas as opções e ocasiões;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;2026-01-05 14:14:18;4.73.1;Bradesco;negative;
o aplicativo é lento e não está abrindo corretamente e nem atende as minhas necessidades;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 13:58:51;4.74.0;Bradesco;negative;
Não funciona no redmi 14C;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 13:46:16;4.73.1;Bradesco;negative;
Aplicativo cheio de erros no uso fora q se vc precisar de atendimento via chat nunca consegui ser atendido a cada atualização do aplicativo pior fica :(;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 13:39:18;4.72.0;Bradesco;negative;
Não consigo entrar no aplicativo;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-02 14:48:44;;Santander;negative;
o app tem a função de cancelar cartão mas não funciona e manda ligar pro fone fácil. Eu ativei pelo app não pelo done fácil isso é só pra dificultar a vida do cliente. No fone fácil a ligação cai ou eles desligam na sua cara.;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 12:57:40;4.74.0;Bradesco;negative;
criei a conta ontem, fiz um pix pra ela e hoje consta como agência inválida. não consigo acessar a conta pelo app, nem pelo atendimento por telefone pq nao reconhece meu CPF! péssimo, simplesmente não consigo utilizar meu dinheiro;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2026-01-05 12:55:26;;Bradesco;negative;
por enquanto experiência horrível, tento fazer a conta e sempre fala que tá sem conexão sendo que a conexão está ótima.;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2026-01-05 11:50:44;4.73.1;Bradesco;negative;
O app fica dando erro toda vez, não carrega as informações e sai da conta;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 11:35:33;;Bradesco;negative;
muito ruim, não funcina quase nunca;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 11:34:02;4.73.1;Bradesco;negative;
muito difícil de realizar o primeiro acesso, da bastante erro!!! e não conseguimos ajuda para resolver;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2026-01-05 11:23:39;4.73.1;Bradesco;negative;
aplicativo muito ruim 3 dias que tento abrir uma conta e não consigo fica em analise;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2026-01-05 11:17:57;;Bradesco;negative;
banco horrível.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-05 10:47:55;4.73.1;Bradesco;negative;
não consigo abrir o aplicativo do Bradesco;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-01-05 10:27:28;4.74.0;Bradesco;negative;
horrível fiz uma conta pelo App ontem hoje a conta simplesmente falou que a agência estava errada e não entra mais perdi meu tempo e meu dinheiro que está lá e não consigo tira e meu CPF está vinculado ao pix e não posso tira péssimo banco. é outra liguei pro banco agora vou ter que esperar 7 dias pra resolver.;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2026-01-05 10:26:10;4.73.1;Bradesco;negative;
banco ladrão;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2026-01-05 10:12:38;4.73.1;Bradesco;negative;
