Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment_label,sentiment_score,PIX,Login/Autenticação,Performance,Interface/Usabilidade,Empréstimos/Crédito,Pagamentos/Boletos,Saldo/Extrato,Atendimento,Cadastro/Conta,Investimentos,Segurança,Notificações,Questões geográficas,Placas/Veículos,Outros
150,de470be2-4757-4098-8165-7fcc5250315a,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplicativo muito ruim.,1,0.0,24.4.2.0,10/07/2024 19:34,,,24.4.2.0,negative,0.9535130262374878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,1ca69b3b-d510-49b5-97cf-9c215317658f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Péssimo! Pior app de banco.,1,0.0,,10/07/2024 19:33,,,,negative,0.9599303007125854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,091dc8cb-f5ed-4657-8d10-f90d22631328,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,De uns dias pra cá o App simplesmente não funciona...fica dando erro dizendo q está sendo solucionado em breve,1,0.0,24.6.2.0,10/07/2024 19:32,,,24.6.2.0,negative,0.815442681312561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,72a2b223-67a0-4731-b8c6-fd4d37e05e46,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplicativo toda hora não permite acesso,1,1.0,24.6.2.0,10/07/2024 19:31,,,24.6.2.0,negative,0.7286072969436646,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157,8ef71315-49ba-441d-94f0-903542258948,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tá horrível,1,0.0,24.6.2.0,10/07/2024 19:31,,,24.6.2.0,negative,0.944371223449707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,b0758e68-6e52-4890-9918-f85ba6171f4e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Quase sempre o App fica fora do ar.,1,0.0,24.4.2.0,10/07/2024 19:27,,,24.4.2.0,negative,0.7833767533302307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,93aba473-6e3b-4a19-aa37-97c0ff448b14,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,travando direto,3,0.0,24.6.2.0,10/07/2024 18:47,,,24.6.2.0,negative,0.7928915023803711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,6f794c75-1cff-4921-a23d-77cd9326dec3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,🫤 meh,1,0.0,24.4.2.0,10/07/2024 18:07,,,24.4.2.0,negative,0.426823616027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,afee383c-db05-4eb2-90ae-6e6e5f6df92f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ruim,2,0.0,,10/07/2024 18:01,,,,negative,0.8899328708648682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,771dfda6-9f88-43c2-8cc8-48280fb19e41,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Está horrível.. agora pra entrar no app estou tendo que reiniciar o Cel todo hora.. pq não abre se não fizer isso.,2,0.0,24.4.2.0,10/07/2024 17:36,,,24.4.2.0,negative,0.9409144520759584,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184,d255f1b2-e21e-4364-8fd2-79d1c898d67e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Esta dificil de abrir o aplicativo..pessimo toda hora esta travando,1,0.0,24.4.2.0,10/07/2024 17:00,,,24.4.2.0,negative,0.9343164563179016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,0d1f65b9-d268-4d6e-80da-9e43b74ad752,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,App simplesmente parou de funcionar não consigo receber e nem mandar pix não consigo sacar dinheiro na poupança e nem nda por favor arrume isso logo muita gente precisa dessas opções,5,0.0,24.4.2.0,10/07/2024 13:25,,,24.4.2.0,negative,0.9044066667556764,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
233,7e7d19fa-53fd-46cc-8bb9-e1313785dd1b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou conseguindo acessá mimha conta,1,0.0,24.4.2.0,10/07/2024 12:26,,,24.4.2.0,negative,0.8384454250335693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
303,497fb1a7-a5f3-474c-9432-f4c89c66a442,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Constantemente com problema.,1,0.0,24.4.2.0,09/07/2024 22:49,,,24.4.2.0,negative,0.780950665473938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
307,a6280bf8-33e2-4c00-86b2-8cc6066c5c1f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Esta travando na tela inicial Não vai nem para a frente e nem volta Tenho que desinstalar e reinstalar e instalar pra dar certo ! Complicado Continua travando Está assim faz 2 semana já 06/07/24 Péssimo Continua 09/07,1,4.0,24.4.2.0,09/07/2024 22:28,,,24.4.2.0,negative,0.9282753467559814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,49208721-f488-4a36-97d1-ff0caa6643ad,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Péssimo Atendimento.,1,0.0,24.4.2.0,09/07/2024 22:15,,,24.4.2.0,negative,0.9375282526016236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
313,3c17c530-ca84-4061-9554-addfbbda77fc,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mto ruim 👎,1,0.0,24.4.2.0,09/07/2024 22:02,,,24.4.2.0,negative,0.9548821449279784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,75b09ed6-79fd-4833-b5f8-0f7734a2f6a6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ruim 👎até hoje não recebi meu cartão.,1,0.0,24.4.2.0,09/07/2024 21:29,,,24.4.2.0,negative,0.94341379404068,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
321,30544a41-4b61-4713-b8ff-9eda15bf2215,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Travou do nada sem querer eu fizesse nada um app atrasado,1,0.0,24.4.2.0,09/07/2024 21:05,,,24.4.2.0,negative,0.802909255027771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324,b6f34019-ef97-46bd-9379-0985162184e8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pior banco do planeta,1,0.0,24.4.2.0,09/07/2024 20:14,,,24.4.2.0,negative,0.9316446781158448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
327,73e5ca73-0c9f-4db8-a44a-69de5ac78def,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Péssimo os telefones não funcionam e os atendentes educados,1,0.0,,09/07/2024 20:05,,,,negative,0.9399229884147644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
329,709d645a-7164-4b63-b0c4-1af2cfb4af8c,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Faz tempo q espero ser cliente de vcs é vcs não me aprovam,1,0.0,24.4.2.0,09/07/2024 19:22,,,24.4.2.0,negative,0.8725327849388123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
342,39a9f84b-d214-4769-873f-f43ece52c82f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,muito instável e trava toda hora,2,0.0,24.4.2.0,09/07/2024 17:59,,,24.4.2.0,negative,0.9383426904678344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
343,c5ff5280-ba25-4c9e-a52f-e74522074d10,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não estou conseguindo acessar minha conta,5,0.0,24.4.2.0,09/07/2024 17:48,,,24.4.2.0,negative,0.7992730736732483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
354,c7d14e88-5bed-4595-adfe-0486e0fd32f4,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O app está horrível diz q o sistema está indisponível,3,0.0,24.4.2.0,09/07/2024 16:22,,,24.4.2.0,negative,0.947708010673523,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
358,3e5f04f3-d1db-4c69-ba52-e330cf42764e,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Se você esquecer agência ou conta tá lascado pq não tem como solicitar pra lembrar.,1,0.0,24.4.2.0,09/07/2024 15:51,,,24.4.2.0,negative,0.8084484934806824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
364,dad0390a-9dfb-4f29-9446-0664b3d22965,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Boa tarde não consigo entra no app já desinstalei e já estalei de novo e nada de conseguir entra no app,1,0.0,,09/07/2024 15:21,,,,negative,0.8105376362800598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
377,9337fdee-228d-4424-a36b-838778cdb095,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,presica travar menos,4,0.0,24.4.2.0,09/07/2024 14:19,,,24.4.2.0,negative,0.5695603489875793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382,550efdc9-23a9-4043-b41d-74e0c62bb9c0,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não recebo nenhuma notificação de pix,1,0.0,,09/07/2024 14:06,,,,negative,0.6513975858688354,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
385,dd235820-336a-41c5-8d0f-69424cccfbe3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplicativo está travando muito tenho que reiniciar o celular toda vez que preciso entrar no aplicativo 😡,1,0.0,24.4.2.0,09/07/2024 13:58,,,24.4.2.0,negative,0.8976495862007141,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
386,e712f2e8-4ce6-416f-bae5-3a9c37b28f8f,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,App. Travando toda hora péssimo,2,0.0,24.4.2.0,09/07/2024 13:56,,,24.4.2.0,negative,0.9411778450012208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
390,8920ed7f-cd78-4b1a-98b7-4a4e3977b63b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,libera nunca o cartão de crédito,4,0.0,24.4.2.0,09/07/2024 13:29,,,24.4.2.0,negative,0.6363540291786194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
391,dc2e6193-002d-4d74-8ec8-50f51f170e42,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ruim.,3,0.0,,09/07/2024 13:29,,,,negative,0.9420103430747986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
393,27bc0d22-88a1-42ec-aea6-8649478b3135,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tem que tá reiniciando pro aplicativo abrir. Horrível!,1,0.0,24.4.2.0,09/07/2024 13:15,,,24.4.2.0,negative,0.95001220703125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
394,08559c98-0eb2-451c-8186-150df83b6152,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tá travando muito,1,0.0,24.4.2.0,09/07/2024 13:11,,,24.4.2.0,negative,0.8854317665100098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
396,b677b1cd-c45c-4af7-8d37-268c89b0aba0,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Satisfeito,5,0.0,24.4.2.0,09/07/2024 13:02,,,24.4.2.0,negative,0.6222972273826599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
397,cd0699a7-0eb8-4226-875c-494effc550ce,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Já faz duas semanas que não consigo entrar no aplicativo diz q tenho q buscar uma agência,1,0.0,24.4.2.0,09/07/2024 12:54,,,24.4.2.0,negative,0.7887620329856873,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
399,1d272080-1839-4fcd-9f01-8a3df7129460,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sempre tá com problemas,1,0.0,24.4.2.0,09/07/2024 12:51,,,24.4.2.0,negative,0.6371682286262512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
408,4595cd73-57f6-4cee-a85b-0c7e8c714fcc,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pecimo,1,0.0,24.4.2.0,09/07/2024 12:15,,,24.4.2.0,negative,0.4085492193698883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430,734396df-69d3-4b09-b8bd-ae8b3fc9d566,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Um lixo o nubank foi o único que libera cartão de crédito com limite na hora e não tem essas frescura.,2,0.0,,09/07/2024 10:14,,,,negative,0.8936001658439636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
442,5fc9ae59-2c9b-4784-9256-0f7413885359,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Esse banco é horrível estou tentando quitar um contrato do próprio banco Santander e nao consigo enquanto isso o juros a cada dia aumenta perdi 3 horas em ligações e app e ninguém resolve nada depois de resolver essa pendência nunca mais usarei esse banco.,1,0.0,24.4.2.0,09/07/2024 09:23,,,24.4.2.0,negative,0.957852840423584,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
443,768ecdd2-e62c-49c8-a6dd-b74fb1f3f64b,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nunca tive problema com esse APP.agora fica travando.e se não abrir num dia no outro não abre mais....tenho que desinstalar e começar tudo de novo....em uma emergência vai ser complicado fazer isso....fineza verificar pq acontece,2,0.0,24.4.2.0,09/07/2024 09:17,,,24.4.2.0,negative,0.9082196950912476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
447,55849d11-d884-4948-b73f-46b7765cbe1c,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Banco lixo,1,0.0,,09/07/2024 09:05,,,,negative,0.9337388277053832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
451,a86697d9-c2aa-4977-bb6d-a4adf4667031,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Simplesmente coloco dinheiro na conta e some do nada coloquei um dinheiro ontem pra pagar o cartão de crédito e o dinheiro sumiu e o pior tô só me individando,1,0.0,24.4.2.0,09/07/2024 08:27,,,24.4.2.0,negative,0.8668438196182251,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
453,07e98f2f-6376-4fa3-9865-f3ded1828584,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sempre que vou usar pede pra redefinir a senha. Está insuportável usar esse app.,1,0.0,24.4.2.0,09/07/2024 07:48,,,24.4.2.0,negative,0.9437955021858216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
